feature,importance
M4,0.008441220247732417
S2_roll20_mean,0.007629466878825042
M17,0.00717051440369687
S5_roll20_mean,0.006798614490435284
M4_lag1,0.0056907003229298425
V13,0.005476513007010908
V13_roll60_std,0.00496061106059642
P7,0.004883151703324984
I2,0.004549176281216205
M4_lag2,0.004336219620654447
M12,0.004295759842534608
P9,0.0041709520082804374
S2_roll60_mean,0.003907938338670647
S5_roll60_mean,0.003844240358834128
M4_roll5_mean,0.003569446442725166
S5_lag1,0.002976022307848325
V13_lag10,0.002958076998766046
E15,0.0026990250080416445
V7,0.0025961157289202674
V13_roll5_mean,0.002436815768305678
I4,0.002205328200943768
I3,0.0018177165984525345
V13_roll20_mean,0.0017947586347304423
S2,0.0017590583138371585
M2_lag2,0.0016083525429166912
M2_lag5,0.0014893385105096968
V6,0.0014823820383753628
P5,0.0013915573799749836
E19,0.0013168054047127953
E9,0.0011754068873415235
M4_roll60_std,0.001044895405357238
M8,0.0010270367056364194
S2_lag5,0.0009548136076773517
M4_roll5_std,0.0009365690057165921
P6,0.0008406847605328949
S5_lag5,0.0008307810057885945
S2_roll60_std,0.0008199611838790588
M2_roll5_mean,0.0008041922264965251
E11,0.0006986159535244951
M11,0.0006893863901495934
S5,0.0006855769897811115
S2_roll5_std,0.0006634964738623239
I1,0.0006491768278067411
S5_roll5_mean,0.0005655644590660813
M18,0.0005095079977763817
S7,0.0004889105875918176
V13_roll5_std,0.0004585409978972166
E18,0.0004568577933241613
M10,0.00044887219064548844
V13_lag5,0.000406818013289012
M2_roll20_mean,0.00040556900785304606
M4_roll20_mean,0.00040041279225988546
P10,0.00040003700996749103
E20,0.00037132398574613035
S5_roll20_std,0.0003500760067254305
E19_lag20,0.0003370830090716481
M5,0.00032719800947234035
P4,0.0002924310101661831
V8,0.0002761807008937467
M2_roll60_mean,0.0002532419966883026
V12,0.00024192499404307455
M3,0.00023598400002811104
V5,0.0002208359946962446
E8,0.00019443599740043283
S2_roll20_std,0.00019034560114050691
I8,0.0001691049983492121
V13_roll60_mean,0.0001689469936536625
V13_roll20_std,0.00015902200721029658
E19_lag10,0.00015621219790773466
E19_lag5,0.00014301530245575123
E16,0.00014139899576548487
V9,0.000133826099045109
M2_lag1,0.00012913829777971841
S4,0.0001255249953828752
I5,9.870839858194813e-05
M4_roll20_std,7.791999814799055e-05
M7,8.10076011248384e-06
P8,6.747719908162253e-06
S5_roll60_std,0.0
E2,0.0
E6,0.0
E5,0.0
E17,0.0
M2_roll5_std,0.0
M2_roll20_std,0.0
I7,0.0
V13_lag1,0.0
S5_roll5_std,0.0
M15,0.0
E20_missing,0.0
P11,0.0
P2,0.0
M4_roll60_mean,0.0
S1,0.0
S10,0.0
S8,0.0
V1,0.0
E10,0.0
E1_missing,0.0
E1,0.0
